oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
TCL,Plex,2019,Available. Released 2019,,192.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
TECNO,Spark Power 2,2020,,,220.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",7.0,720 x 1640 pixels (~256 ppi density),"Fingerprint (rear-mounted), accelerometer, proximity",Android 10
TECNO,Spark 5 Air,2020,,,,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",7.0,720 x 1640 pixels (~256 ppi density),"Fingerprint (rear-mounted), accelerometer, proximity",Android 10 (Go edition)
TECNO,Spark 5,2020,Available. Released 2020,,,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.6,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 10
TECNO,Camon 15 Premier,2020,Available. Released 2020,,203.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.6,"1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 10
TECNO,Camon 15 Air,2020,Available. Released 2020,,,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.6,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 10
TECNO,Camon 15 Pro,2020,Available. Released 2020,,203.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.6,"1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 10
TECNO,Camon 15,2020,Available. Released 2020,,196.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.6,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 10
TECNO,Camon 12 Air,2019,Available. Released 2019,,181.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.55,"720 x 1600 pixels, 20:9 ratio (~268 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 9.0 (Pie)
TECNO,Pop 3 Plus,2019,Available. Released 2019,,180.5,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.52,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 9.0 (Pie)
